"OTU"	"Deng_Y_2012"	"Raut_S_2018_1"	"Raut_S_2018_2"	"Raut_S_2018_3"	"Xia_W_2017"	"Yang_S_2019"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu578"	0.538060516974428	-0.771645930605437	0.665620618501659	1.49978413632397	-1.51659454823953	-1.52359836970901	6	-1.10837357675392	-0.184728929458987	-1
"Otu579"	0.146834360836044	0.576764769910409	0.264010980426838	-0.264728138519456	NA	0.310705927158581	5	1.03358789981242	0.206717579962483	1
"Otu5792"	-0.0607157208420299	0.554037239085662	-0.128807774061155	2.48192986777352	NA	-1.09876917985791	5	1.74767443209809	0.349534886419617	1
"Otu58"	-0.560151683588802	-0.597350290582339	-0.651516877354126	-0.0935056033401132	NA	0.429405321142214	5	-1.47311913372317	-0.294623826744633	-1
"Otu580"	NA	-2.85108567886351	0.171232160183967	4.44020107002007	NA	NA	3	1.76034755134053	0.586782517113509	1
"Otu581"	NA	-1.44183954919662	-0.0273666260836722	-0.29096593801316	NA	NA	3	-1.76017211329345	-0.586724037764484	-1
"Otu5828"	0.667910284338916	NA	NA	NA	-2.08319120080948	1.20200532848076	3	-0.213275587989804	-0.071091862663268	-1
"Otu585"	0.0451526925847477	-0.606005709104994	-0.100478183199328	NA	0.104353995978974	0.395460172312075	5	-0.161517031428525	-0.0323034062857051	-1
"Otu5879"	NA	-1.42456246824422	0.520238801275721	0.610066068296157	NA	NA	3	-0.294257598672342	-0.098085866224114	-1
"Otu589"	NA	0.310543407150609	0.660298957805448	0.982459650627455	NA	NA	3	1.95330201558351	0.651100671861171	1
"Otu59"	-0.593411236735072	-0.0196510264794617	-0.167346061059162	-0.819555756881639	NA	NA	4	-1.59996408115533	-0.399991020288834	-1
"Otu591"	NA	-0.268633935847745	-0.0823829125695342	-0.807789826689699	NA	NA	3	-1.15880667510698	-0.386268891702326	-1
"Otu593"	NA	-1.49166055452858	0.244286753675457	NA	NA	1.2750915120627	3	0.0277177112095771	0.00923923706985902	1
"Otu594"	0.171959906387692	-0.87912806026131	0.325784808717601	1.64685636577874	0.542421643192651	0.0359459725281547	6	1.84384063634353	0.307306772723921	1
"Otu595"	NA	0.352376440013661	1.80163191047251	1.12274464724523	NA	-1.6787209255397	4	1.5980320721917	0.399508018047925	1
"Otu598"	NA	-1.36747337695827	-1.07368371689469	NA	NA	0.174224281843205	3	-2.26693281200976	-0.755644270669918	-1
"Otu6"	-0.45372872188012	0.0364698113968518	-0.705521252076468	-0.66832519345431	NA	-0.679921836189649	5	-2.4710271922037	-0.494205438440739	-1
"Otu60"	0.180298557523164	-0.687198436901626	-0.543270911553904	-1.12293878195105	NA	-2.54832488287528	5	-4.7214344557587	-0.944286891151739	-1
"Otu600"	NA	-0.777700643731155	1.91506829223783	0.208381576601097	NA	NA	3	1.34574922510777	0.448583075035924	1
"Otu601"	NA	0.327420441624927	-0.553412557338004	-1.7962203024979	NA	NA	3	-2.02221241821098	-0.674070806070326	-1
"Otu603"	NA	0.743864953825222	1.38028148689463	-0.0888978649308542	NA	NA	3	2.035248575789	0.678416191929666	1
"Otu6032"	NA	0.998050966281667	0.674069061628077	0.877806248335091	NA	NA	3	2.54992627624484	0.849975425414945	1
"Otu605"	-1.56328933926853	0.226318611248446	0.145970884606265	NA	NA	-0.0952668963428164	4	-1.28626673975664	-0.321566684939159	-1
"Otu606"	NA	0.269500727167978	0.921136474805247	1.00394665910605	NA	NA	3	2.19458386107928	0.731527953693092	1
"Otu607"	NA	-0.675233632561527	1.89215113805943	4.38262541987433	NA	-2.55965463604126	4	3.03988828933097	0.759972072332743	1
"Otu609"	-0.0792587582496331	NA	-0.965804212566791	-0.325542435958305	NA	-1.06783385580635	4	-2.43843926258108	-0.60960981564527	-1
"Otu61"	-0.0792587582496331	-0.18840682919874	-0.0140435725528874	0.719302871043171	-1.34039603290939	-0.651589426670476	6	-1.55439174853796	-0.259065291422993	-1
"Otu610"	-1.31975563055506	-1.05223957761562	-0.644808131246921	NA	0.0739398671392837	0.206813671373901	5	-2.73604980090442	-0.547209960180883	-1
"Otu611"	NA	-0.379322000698966	0.475590375379882	-0.362428073826953	NA	NA	3	-0.266159699146037	-0.0887198997153457	-1
"Otu612"	-0.560151683588802	NA	NA	NA	0.582976279341725	0.381867765842713	3	0.404692361595636	0.134897453865212	1
"Otu613"	-0.794673718442513	0.508922622346441	0.809043780065414	1.08644340064157	2.03167037255746	-0.991188031529829	6	2.65021842563854	0.441703070939757	1
"Otu6143"	0.180298557523164	-0.011488505981743	-1.00748593346798	0.739820648779839	NA	NA	4	-0.09885523314672	-0.02471380828668	-1
"Otu615"	0.42074438655707	NA	2.08564732018648	NA	NA	-0.630151422759702	3	1.87624028398385	0.625413427994616	1
"Otu616"	NA	0.0291065228013826	0.374753939086961	-0.388600618057527	NA	-1.08892809856375	4	-1.07366825473293	-0.268417063683233	-1
"Otu618"	-0.675819122256473	-0.895875433285274	NA	-0.277450341314368	-0.822403109512405	-0.474203573411345	5	-3.14575157977987	-0.629150315955973	-1
"Otu6180"	NA	-0.63176807498619	0.883480069527192	1.07294245191404	NA	-0.41937961202821	4	0.905274834426832	0.226318708606708	1
"Otu619"	1.37324986460854	NA	NA	NA	-0.237903215772274	0.781238392570166	3	1.91658504140643	0.638861680468811	1
"Otu62"	1.73593149856752	-0.239801719013384	0.548754946748432	0.837664805372417	1.47998678696108	-0.760351130707786	6	3.60218518792828	0.600364197988047	1
"Otu620"	0.667910284338916	-2.01035148241191	0.426911239948269	0.0393352943376334	NA	-1.06911716995587	5	-1.94531183374296	-0.389062366748592	-1
"Otu622"	NA	-0.73195100011959	-0.16143237371226	-0.0365937992926193	NA	-1.22971632189065	4	-2.15969349501512	-0.53992337375378	-1
"Otu623"	-1.53481596087064	0.161858410084388	-1.07140740494035	-1.49940404359367	0.423998332074516	0.252453269331385	6	-3.26731739791437	-0.544552899652395	-1
"Otu624"	NA	0.191753313236827	1.42310859283405	2.02779049861964	NA	NA	3	3.64265240469052	1.21421746823017	1
"Otu625"	0.879923058165362	-0.164167283482266	1.55860080293232	-0.467071402020352	0.684147645998809	-3.4941968734063	6	-1.00276405181243	-0.167127341968738	-1
"Otu6255"	-0.874946308327816	NA	NA	NA	-0.0538081072166793	1.21740800801552	3	0.288653592471025	0.0962178641570083	1
"Otu627"	NA	-1.37365738375959	0.346877462277402	0.245036412691096	NA	NA	3	-0.781743508791092	-0.260581169597031	-1
"Otu629"	-0.234615676249004	0.0241400895340441	0.539824251583786	-0.0455795560836028	NA	-1.53533814791893	5	-1.25156903913371	-0.250313807826741	-1
"Otu63"	-0.171459643995744	0.369745529733609	-0.327619386468134	-1.2218637534764	NA	0.170206710797898	5	-1.18099054340877	-0.236198108681754	-1
"Otu631"	NA	-1.27191396875428	4.18518937039868	1.48809205875325	NA	NA	3	4.40136746039765	1.46712248679922	1
"Otu632"	NA	0.786551002503928	0.709771676821139	-0.108539569147339	NA	NA	3	1.38778311017773	0.462594370059243	1
"Otu633"	NA	1.40132018514548	-1.74611836918779	-1.0121312966502	NA	NA	3	-1.35692948069251	-0.452309826897503	-1
"Otu6337"	NA	NA	0.319410540286299	-0.928850241485842	NA	2.03205398322949	3	1.42261428202995	0.474204760676649	1
"Otu634"	-0.319704678757813	-1.03792376745519	1.35632417395393	0.0827507858395783	1.39747767327061	1.4969048713829	6	2.97582905823402	0.495971509705669	1
"Otu635"	NA	0.232667740143305	-0.337413761640384	0.152347197922349	NA	NA	3	0.04760117642527	0.0158670588084233	1
"Otu636"	NA	-0.360605730475808	0.233650991958966	0.616696006502644	NA	NA	3	0.489741267985802	0.163247089328601	1
"Otu637"	NA	0.194975557301392	0.219926259353584	0.076147078831815	NA	NA	3	0.491048895486791	0.163682965162264	1
"Otu638"	0.180298557523164	NA	NA	NA	-1.77204358548704	0.112180991408762	3	-1.47956403655511	-0.493188012185038	-1
"Otu6382"	NA	-0.018625995465091	0.609797450984946	-0.00498366902756811	NA	NA	3	0.586187786492287	0.195395928830762	1
"Otu64"	NA	-0.381140029822595	0.399238883976499	0.592077673892452	NA	NA	3	0.610176528046356	0.203392176015452	1
"Otu640"	NA	1.22165787873144	1.30759024456253	1.24554189343997	NA	NA	3	3.77479001673394	1.25826333891131	1
"Otu645"	NA	-1.57148348367471	-0.144645608866601	0.301977569771321	NA	NA	3	-1.41415152276999	-0.47138384092333	-1
"Otu6457"	0.42074438655707	0.521012081905347	0.128174365763889	NA	NA	NA	3	1.06993083422631	0.356643611408769	1
"Otu6469"	NA	-0.58094060860526	-0.56478643892296	-0.0843918117864298	NA	NA	3	-1.23011885931465	-0.41003961977155	-1
