"OTU"	"Che_R_2018"	"DeAngelis_M_2015_1"	"DeAngelis_M_2015_2"	"DeAngelis_M_2015_3"	"Waghmode_R_2018"	"Zhang_K_2016"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu262"	NA	-0.410563078139848	1.61280624441018	0.544248220338125	NA	NA	3	1.74649138660846	0.582163795536152	1
"Otu2621"	NA	3.04775042507359	1.17177985730196	-1.03125113994245	-0.967748803924834	NA	4	2.22053033850827	0.555132584627066	1
"Otu2623"	0.298860089840117	0.342498584417792	NA	NA	0.111569709876982	0.358631448538435	4	1.11155983267333	0.277889958168332	1
"Otu2627"	NA	-0.697167077415574	1.36891255825997	-0.123336035590294	1.25731800439472	NA	4	1.80572744964882	0.451431862412206	1
"Otu263"	-1.32345463912149	NA	NA	NA	0.316803199755721	0.937969629178974	3	-0.0686818101867951	-0.0228939367289317	-1
"Otu2630"	NA	-3.09477673903246	3.62138730638276	1.1920213697942	NA	NA	3	1.7186319371445	0.5728773123815	1
"Otu2632"	NA	0.767284203162037	0.626388994365265	0.584473676861099	NA	NA	3	1.9781468743884	0.6593822914628	1
"Otu2635"	NA	1.88909009547961	-1.50104892598112	-0.523241884730792	NA	NA	3	-0.135200715232302	-0.045066905077434	-1
"Otu2637"	NA	-1.80297580729925	-0.636047606369818	0.211874261563118	NA	NA	3	-2.22714915210595	-0.742383050701983	-1
"Otu264"	-0.371576797295054	-3.44714939559185	-2.94820399888714	0.528493126073648	NA	1.42755805777646	5	-4.81087900792394	-0.962175801584787	-1
"Otu2647"	NA	-1.09495948763125	-2.30063710580864	-1.17037384467342	NA	NA	3	-4.56597043811331	-1.52199014603777	-1
"Otu2649"	-0.00405018058233653	0.781838861702643	0.930855732507162	0.769781371108468	NA	NA	4	2.47842578473594	0.619606446183984	1
"Otu265"	-0.413092911315882	5.17594465621079	NA	NA	-0.436865881765252	-0.408863006728902	4	3.91712285640075	0.979280714100188	1
"Otu2651"	NA	-0.495394766855521	1.13843340057765	-0.873142921681562	NA	NA	3	-0.230104287959433	-0.076701429319811	-1
"Otu2662"	0.34325537498439	NA	NA	NA	-0.72551217168971	-0.382550852844272	3	-0.764807649549592	-0.254935883183197	-1
"Otu2668"	NA	2.12681457712278	2.61080618952235	-3.10628813604206	NA	NA	3	1.63133263060307	0.543777543534357	1
"Otu267"	-0.732882044853884	NA	NA	NA	-1.0051758682566	0.402055783180342	3	-1.33600212993014	-0.445334043310047	-1
"Otu2672"	NA	-1.27010522755225	3.85167045157526	4.10089804400688	NA	NA	3	6.68246326802989	2.22748775600996	1
"Otu2673"	0.716794525256904	-0.0969240436771376	0.83167857747176	0.103934280388559	0.847545361898606	NA	5	2.40302870133869	0.480605740267738	1
