"OTU"	"Bastida_F_2017_1"	"Bastida_F_2017_2"	"Bouskill_N_2013_1"	"Bouskill_N_2013_2"	"Fernamdes_V_2018_1"	"Fernamdes_V_2018_2"	"Zhang_K_2016"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu7351"	NA	NA	-0.893398507721941	NA	0.331236191149692	-0.71325978383787	NA	3	-1.27542210041012	-0.425140700136706	-1
"Otu7354"	NA	0.216056363140562	NA	NA	-0.791170601580342	0.03657710911233	NA	3	-0.53853712932745	-0.179512376442483	-1
"Otu736"	1.06488084256955	1.44794844173068	-0.896524225679758	NA	NA	-0.703669392670231	0.700554585581474	5	1.61319025153171	0.322638050306343	1
"Otu737"	-0.26975351786471	2.50339529733541	NA	NA	0.629001913949227	NA	1.21906579999309	4	4.08170949341302	1.02042737335325	1
"Otu7388"	1.65256014511764	0.0374874573253491	NA	NA	NA	-0.607502578618576	NA	3	1.08254502382441	0.360848341274804	1
"Otu739"	0.0721606405259047	0.723731334119555	NA	NA	0.420416009137801	0.101999015836554	-0.31199965916177	5	1.00630734045804	0.201261468091609	1
"Otu74"	-0.349846708112693	-0.358626839329675	NA	NA	0.127366198178279	0.0701254824966284	0.984646199539935	5	0.473664332772474	0.0947328665544949	1
"Otu741"	-0.180942226373451	0.572814383146105	-1.22076515265154	NA	0.561503030080716	0.15875205187941	1.37828361678613	6	1.26964570286737	0.211607617144562	1
"Otu7438"	-1.10756850038664	-1.40896726580664	NA	NA	NA	-0.174864711971593	NA	3	-2.69140047816487	-0.897133492721624	-1
"Otu744"	NA	NA	-1.92068791441015	NA	0.426649485268664	0.360825580168503	0.705591108297354	4	-0.427621740675629	-0.106905435168907	-1
"Otu746"	NA	NA	NA	NA	-0.592942309730357	-0.113333841870821	0.784489585756489	3	0.078213434155311	0.026071144718437	1
"Otu747"	-0.0111914544578241	0.366723621232131	-1.80930070383593	NA	-1.84633329625755	-0.572685146444844	0.767983129726675	6	-3.10480385003734	-0.517467308339557	-1
"Otu7483"	0.0547032000752765	0.411699153200544	NA	NA	-1.36029610814458	-0.246754752559859	NA	4	-1.14064850742862	-0.285162126857155	-1
"Otu749"	-0.102825096268131	-0.0578912010505308	NA	NA	-2.94041020946671	0.113907935795473	1.22785106692188	5	-1.75936750406802	-0.351873500813604	-1
"Otu75"	NA	NA	NA	NA	-0.427051265569768	0.0380104423342448	0.112016973010644	3	-0.277023850224879	-0.0923412834082931	-1
"Otu750"	NA	NA	NA	NA	0.657715337037119	0.171542459879284	-1.83385989369183	3	-1.00460209677543	-0.334867365591809	-1
"Otu751"	-1.10244863197116	-0.261807932645733	-0.502076591104483	NA	-0.161654814864477	-0.193997345632691	-0.325965597664733	6	-2.54795091388328	-0.424658485647213	-1
"Otu752"	NA	NA	-1.30807730893892	NA	0.61729250315721	-1.27344920406792	-0.623682180689762	4	-2.58791619053939	-0.646979047634848	-1
"Otu7525"	-0.743709781059727	0.376863760683973	-2.0827945556618	NA	-0.0463705402594413	NA	NA	4	-2.496011116297	-0.624002779074249	-1
"Otu7528"	1.16222462769147	-0.288716848222387	NA	-0.319599087945519	NA	NA	NA	3	0.553908691523564	0.184636230507855	1
"Otu754"	-1.30971561548219	NA	2.90175375326185	NA	NA	-0.944323400836433	-1.25758443900137	4	-0.609869702058143	-0.152467425514536	-1
"Otu7541"	-2.87604453681471	NA	-2.27939540800332	-0.435620615758792	NA	-1.36681805238182	NA	4	-6.95787861295864	-1.73946965323966	-1
"Otu7556"	-0.129069260604183	-0.274236917036201	NA	NA	-0.25570581713011	0.951597959880069	NA	4	0.292585965109575	0.0731464912773938	1
"Otu756"	0.588159687193488	-0.197522403055518	1.28479204862324	NA	-1.40341795136243	0.496357294219376	1.00084359786335	6	1.76921227348151	0.294868712246918	1
"Otu7562"	NA	1.5837352118798	NA	-1.02215510399	-0.489710684924586	-0.740315906631047	NA	4	-0.668446483665833	-0.167111620916458	-1
"Otu757"	2.07051262280636	0.498889792412146	NA	NA	NA	NA	1.81948104937311	3	4.38888346459162	1.46296115486387	1
"Otu758"	0.882817264076775	-0.440266412625813	NA	NA	NA	NA	0.619836034620268	3	1.06238688607123	0.354128962023743	1
"Otu759"	-0.237626356149925	-0.501534571547728	NA	NA	-0.653893863794555	0.45503034415362	0.965179927197649	5	0.027155479859061	0.00543109597181219	1
"Otu76"	-0.849372161214543	0.384374649642519	NA	NA	-0.828373623323206	0.265264890550484	-0.327335249998658	5	-1.3554414943434	-0.271088298868681	-1
"Otu760"	1.75473883900239	NA	-1.92270689147818	NA	NA	NA	-0.117019069283214	3	-0.284987121759004	-0.0949957072530013	-1
"Otu761"	NA	NA	NA	NA	0.481384717943273	2.25263611965921	-0.325965597664733	3	2.40805523993775	0.80268507997925	1
"Otu762"	NA	NA	NA	NA	3.46874196513436	3.2180418638652	0.21037826045837	3	6.89716208945793	2.29905402981931	1
"Otu7627"	NA	0.133758565497777	-3.754492001613	NA	-0.301055362561684	0.30044461056714	NA	4	-3.62134418810977	-0.905336047027442	-1
"Otu763"	NA	NA	NA	0.564833349455328	NA	-0.61419381322151	-2.43383214535239	3	-2.48319260911857	-0.827730869706191	-1
"Otu764"	NA	0.100023932921492	0.372291705446058	NA	-0.755932491396211	-1.06798137121948	0.0152908179448217	5	-1.33630740630332	-0.267261481260664	-1
"Otu765"	-0.914314144677668	0.281031466285592	1.29302443616846	NA	-0.342092969614865	-0.0149100936326486	-0.122336328810215	6	0.180402365718655	0.0300670609531092	1
"Otu766"	NA	NA	NA	NA	0.357546790038621	-0.778499773178186	1.93720189375309	3	1.51624891061353	0.505416303537842	1
"Otu767"	0.70392215543142	0.0979496596703665	NA	NA	0.325497831832582	-0.204553382805494	NA	4	0.922816264128875	0.230704066032219	1
"Otu768"	NA	NA	NA	NA	-1.74193855195553	-0.397801115768226	0.446102528074994	3	-1.69363713964876	-0.564545713216254	-1
"Otu7680"	-1.36941714997641	-0.311828378595272	2.65309880042968	0.564833349455328	1.43224454399525	-0.635205249341639	NA	6	2.33372591596694	0.388954319327823	1
"Otu7689"	NA	NA	1.2933586055161	NA	-0.0286878839364269	-1.20395023562927	NA	3	0.0607204859504031	0.0202401619834677	1
"Otu77"	-0.770345831685598	-0.330951372944297	2.00061263956466	-0.757169091123021	0.787317250663669	0.693497053936133	0.161688459429782	7	1.78464910784133	0.254949872548761	1
"Otu7701"	NA	NA	2.25870276001214	NA	0.245496667719654	-0.732314404238606	NA	3	1.77188502349319	0.590628341164396	1
"Otu771"	-0.702069995047286	-0.99292819621896	-1.98182674933416	NA	0.177331165001205	0.195088647037438	0.327734472694292	6	-2.97667065586747	-0.496111775977912	-1
"Otu772"	-1.15535435467939	-0.438988578366437	1.37435752510313	NA	0.0900919834182768	0.208334988404562	-2.4575915999757	6	-2.37915003609556	-0.396525006015926	-1
"Otu7723"	NA	NA	-1.81299086936186	NA	0.190735165988433	0.825828722072169	NA	3	-0.796426981301258	-0.265475660433753	-1
"Otu773"	-0.732993748272162	NA	NA	-0.514978125262686	NA	NA	-1.10091499714881	3	-2.34888687068366	-0.782962290227886	-1
"Otu774"	NA	NA	1.2921137234185	NA	0.435207064936353	1.005077194316	1.43492578485778	4	4.16732376752863	1.04183094188216	1
"Otu775"	1.29657442269684	-1.18156246686171	-0.502269381315781	NA	-0.0614181289605023	0.0613470786976153	0.241338678692797	6	-0.145989797050741	-0.0243316328417902	-1
"Otu778"	1.240040335626	-0.467490379927327	NA	NA	NA	NA	-0.675225177195598	3	0.0973247785030749	0.0324415928343583	1
"Otu779"	NA	NA	0.537866976953172	NA	0.83120403023772	0.0967994204266228	0.91161635264277	4	2.37748678026028	0.594371695065071	1
"Otu78"	0.303939094165332	0.014612987502642	-0.431349918235452	NA	-0.691532058556276	0.275030982621337	-0.398794793559542	6	-0.928093706061959	-0.15468228434366	-1
"Otu780"	NA	NA	NA	-0.445032956666818	-0.0446308507864734	NA	0.761839240639913	3	0.272175433186622	0.0907251443955405	1
"Otu781"	NA	-0.079821762826738	-1.97163306236958	NA	-0.183654434747241	-0.131857128600657	0.648394365431903	5	-1.71857202311231	-0.343714404622463	-1
"Otu782"	NA	NA	NA	NA	0.449468489957326	-0.359241536552676	-0.948143254810124	3	-0.857916301405474	-0.285972100468491	-1
"Otu7831"	NA	NA	-1.81299086936186	NA	0.0609406186969175	0.630462252962173	NA	3	-1.12158799770277	-0.373862665900923	-1
"Otu784"	NA	NA	NA	NA	-0.662235456130513	-0.275757925136746	1.16332264553035	3	0.225329264263091	0.0751097547543637	1
"Otu786"	0.974654221258321	0.786999937774357	NA	NA	NA	NA	-0.443644532838839	3	1.31800962619384	0.439336542064613	1
"Otu788"	NA	NA	NA	NA	-2.96445579271903	-0.783808809298835	-1.07416239692373	3	-4.8224269989416	-1.60747566631387	-1
"Otu789"	NA	NA	NA	NA	-0.448233830938324	-0.611004131452019	-0.371337800371853	3	-1.4305757627622	-0.476858587587399	-1
"Otu7892"	NA	NA	1.15081429298962	NA	0.117713605866619	-0.0864386671148461	NA	3	1.18208923174139	0.394029743913798	1
"Otu79"	-0.347075252063984	-0.21808329685291	2.863686801216	0.132031082878113	0.422261809200354	-0.658193311270869	-0.348934387707655	7	1.84569344539905	0.263670492199864	1
"Otu791"	NA	NA	NA	NA	-0.222445158194253	0.151404509841328	-1.15961151666073	3	-1.23065216501365	-0.410217388337885	-1
"Otu793"	NA	NA	NA	NA	-2.5965650806134	-0.400178078611973	-0.59780218245574	3	-3.59454534168111	-1.19818178056037	-1
"Otu7932"	-1.38423405996494	0.323327156975665	NA	NA	0.830227677100288	NA	NA	3	-0.230679225888987	-0.076893075296329	-1
"Otu794"	NA	-0.238906302305641	-0.502076591104483	NA	-0.103634876409819	0.259765825565803	NA	4	-0.58485194425414	-0.146212986063535	-1
"Otu796"	0.583125814384948	0.0688538013048522	-0.0639559387545904	0.132032551191642	-0.717036625946329	-1.25708268553427	0.102551181591007	7	-1.15151190176274	-0.16450170025182	-1
"Otu7962"	-0.920642082307528	-1.12062809002682	NA	NA	0.450593816217475	0.607841863123054	NA	4	-0.982834492993819	-0.245708623248455	-1
"Otu798"	NA	-1.07549647145712	0.327268329989732	NA	-0.0339994881214821	0.207171425035148	-0.022353510440045	5	-0.597409714993767	-0.119481942998753	-1
"Otu7989"	NA	NA	-2.87905202128203	NA	-0.157918421944314	-0.717140371002774	NA	3	-3.75411081422912	-1.25137027140971	-1
"Otu8"	0.918594010498493	-0.389067073330559	NA	NA	-0.060486499849026	0.337044804414759	0.0864298782960577	5	0.892515120029725	0.178503024005945	1
"Otu80"	2.09267817104604	-0.600318555158563	NA	NA	NA	NA	1.22169076621231	3	2.71405038209979	0.904683460699929	1
"Otu800"	0.105916234624713	0.0496166049530678	NA	NA	NA	-1.50612965192542	1.30682941414395	4	-0.0437673982036891	-0.0109418495509223	-1
"Otu802"	-3.20890809191386	-0.0954791890464721	NA	NA	NA	NA	-0.872922383354016	3	-4.17730966431435	-1.39243655477145	-1
"Otu803"	NA	NA	NA	NA	-1.56654120107404	0.371025909255892	-2.58076681206362	3	-3.77628210388177	-1.25876070129392	-1
"Otu8038"	-0.217451407981708	-0.308975889375714	-1.027039362661	NA	-0.785561927991506	0.521636474605245	NA	5	-1.81739211340468	-0.363478422680937	-1
"Otu804"	NA	NA	-1.46778069668398	NA	0.326168655577093	1.27040201679083	-0.494512476549979	4	-0.365722500866036	-0.091430625216509	-1
"Otu8078"	NA	-0.112678105504265	NA	NA	0.299735484885792	-0.698521889767551	NA	3	-0.511464510386024	-0.170488170128675	-1
"Otu8079"	0.0856073424863024	0.328912352756208	1.15081429298962	NA	0.244000636218129	-0.858949394544745	NA	5	0.950385229905514	0.190077045981103	1
"Otu808"	NA	NA	0.327268329989732	NA	0.18999323813784	-0.16661653055165	0.93181482554667	4	1.28245986312259	0.320614965780648	1
"Otu8087"	-0.8941393430462	-0.777662748015098	NA	NA	-0.07096763966933	0.521376273670716	NA	4	-1.22139345705991	-0.305348364264978	-1
