"OTU"	"Leff_W_2015_1"	"Leff_W_2015_2"	"Leff_W_2015_3"	"Leff_W_2015_4"	"Leff_W_2015_5"	"Leff_W_2015_6"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu355"	-1.46408625600622	-0.335012827544239	0.467785439008078	-0.626413525039145	NA	-0.818975789811029	5	-2.77670295939255	-0.555340591878511	-1
"Otu3552"	-0.380786435334882	NA	0.956949041917039	NA	1.4250919359906	NA	3	2.00125454257276	0.667084847524252	1
"Otu357"	NA	-0.703199917789507	NA	-0.334767917225944	NA	-0.274398186797586	3	-1.31236602181304	-0.437455340604346	-1
"Otu3570"	NA	-0.413260830579227	NA	0.0699047764210591	-0.108668526664122	0.0509921689135993	4	-0.401032411908691	-0.100258102977173	-1
"Otu358"	NA	0.2656181330509	NA	NA	-1.36542060604784	0.656548426724512	3	-0.443254046272428	-0.147751348757476	-1
"Otu3585"	0.645183601836999	NA	NA	-0.784484399997122	-0.206198212205145	NA	3	-0.345499010365268	-0.115166336788423	-1
"Otu3589"	-0.298209312357567	NA	NA	-0.436461096325543	0.0516620377829674	NA	3	-0.683008370900143	-0.227669456966714	-1
"Otu3592"	NA	0.946860800663515	0.492235691658694	0.366416486439811	0.777767148249295	-1.18867002194587	5	1.39461010506545	0.278922021013089	1
"Otu3594"	-1.76574741127319	NA	NA	0.0231665451206699	0.422048973663562	-0.789042033451561	4	-2.10957392594052	-0.52739348148513	-1
"Otu3596"	0.844959279537471	1.79398268697389	0.663184386683147	NA	1.31427526136759	NA	4	4.6164016145621	1.15410040364052	1
"Otu36"	NA	0.185580329812056	1.82247204771593	0.107695898315724	-0.32256062029389	-0.255983874238087	5	1.53720378131173	0.307440756262347	1
"Otu360"	-0.305387873501019	-0.00311322585813343	0.378984649996403	-0.460299073565201	-0.0403630641667832	-0.270889797158788	6	-0.701068384253522	-0.11684473070892	-1
"Otu361"	NA	-1.43742056620688	-0.44455122583859	0.297318940763134	0.382204590574596	-1.0437632581843	5	-2.24621151889204	-0.449242303778408	-1
"Otu362"	NA	-0.106830658819743	NA	-0.011444285348135	0.883123338436646	-0.208386130479516	4	0.556462263789252	0.139115565947313	1
"Otu3644"	NA	NA	0.300631954628211	0.00262513493264949	NA	-0.589298791352683	3	-0.286041701791823	-0.0953472339306075	-1
"Otu3658"	-0.394443886463397	-0.713950367849736	1.50781990379482	NA	NA	NA	3	0.399425649481687	0.133141883160562	1
"Otu366"	0.251987988893185	-0.71908760738042	-0.0820832044794222	0.437552861259318	0.803558897362567	0.178477974334335	6	0.870406909989563	0.145067818331594	1
"Otu368"	0.95549487935205	-0.445301252183532	0.0391561347995073	-0.141182894114145	0.0225978508479354	-0.904777494063826	6	-0.47401277536201	-0.0790021292270017	-1
"Otu3688"	-0.386372846880393	NA	0.28328113727313	-3.91743364006326	NA	-0.52775825251051	4	-4.54828360218103	-1.13707090054526	-1
"Otu369"	-0.0361008034915617	2.62277990640469	0.215547142829253	NA	-0.024419585313304	0.685090961608776	5	3.46289762203785	0.692579524407571	1
"Otu37"	NA	NA	-0.965470455607544	0.220800164833023	-0.311572890357398	NA	3	-1.05624318113192	-0.352081060377306	-1
"Otu3709"	-0.28564772908432	-2.07951882012898	NA	0.915984118410333	-0.123385164132016	-0.605677415555179	5	-2.17824501049016	-0.435649002098032	-1
"Otu3711"	-1.36053782693511	NA	-0.569011932017599	NA	0.513290601501425	NA	3	-1.41625915745128	-0.472086385817095	-1
"Otu3715"	0.499592461033971	2.19092279828862	0.937508389511928	NA	1.83990742522249	0.473341517213859	5	5.94127259127087	1.18825451825417	1
"Otu372"	0.412665799178847	1.91974763248507	-0.0942187673409054	0.471900105877666	-0.829498934924454	-0.40180091289095	6	1.47879492238527	0.246465820397546	1
"Otu373"	-0.208496810592542	-0.597099803664398	-1.85356154318381	0.731828951652222	0.670253989697394	NA	5	-1.25707521609113	-0.251415043218227	-1
"Otu374"	NA	-2.3916639220232	NA	NA	1.17633879406431	-0.331459298808172	3	-1.54678442676706	-0.515594808922354	-1
"Otu375"	-0.472553420982166	-1.9611497322354	-0.107789814579439	1.06907127462306	0.41005073125544	-1.41547852005959	6	-2.4778494819781	-0.412974913663016	-1
"Otu376"	0.215015787895875	NA	0.197730151154546	-0.180181846716374	1.24675290231554	-0.220867733828614	5	1.25844926082097	0.251689852164195	1
"Otu377"	-1.56283880741685	0.244585391758318	NA	0.0124922731648653	-0.548751221394944	NA	4	-1.85451236388861	-0.463628090972153	-1
"Otu3775"	-0.859314303390988	NA	NA	2.04142675600748	3.06680068116004	NA	3	4.24891313377653	1.41630437792551	1
"Otu378"	NA	NA	NA	-0.284581236630281	2.84214897183428	-1.14116595926694	3	1.41640177593706	0.472133925312353	1
